Intense,0.94,-0.06,0.01
Tense,0.92,-0.21,0.04
Forceful,0.88,-0.02,-0.17
Aggressive,0.86,-0.11,-0.2
Angry,0.85,-0.24,-0.3
Abrasive,0.84,-0.05,-0.36
Strong,0.83,0.01,0.03
Mellow,-0.81,-0.28,0.3
Thrilling,0.81,0.17,0.06
Gentle,-0.8,-0.15,0.48
Manic,0.79,0.1,-0.12
Calming,-0.75,-0.16,0.45
Warm,-0.67,0.36,0.35
Reflective,-0.67,-0.43,0.37
Relaxing,-0.65,-0.05,0.57
Romantic,-0.58,-0.07,0.54
Sensual,-0.52,-0.16,0.17
Happy,0.32,0.87,-0.11
Fun,-0.08,0.86,-0.25
Depressing,0.11,-0.85,-0.11
Merry,-0.24,0.82,0.19
Joyful,-0.3,0.81,0.29
Enthusiastic,0.37,0.76,-0.15
Lively,0.44,0.76,-0.2
Animated,0.52,0.68,0.02
Amusing,0.06,0.63,0
Sad,-0.37,-0.57,0.2
Intelligent,-0.06,0.05,0.89
Sophisticated,-0.3,0.13,0.84
Inspiring,-0.03,0.28,0.82
Complex,0.48,0.24,0.66
Poetic,-0.46,-0.23,0.66
Deep,-0.28,-0.45,0.65
Dreamy,-0.57,-0.28,0.63
Thoughtful,-0.53,0.32,0.6
Party music,0.34,0.34,-0.57
Emotional,-0.32,-0.52,0.54
Danceable,0.01,0.52,-0.54
